username,first,second,operator,answer,user_answer,time
lol2,4,6,*,0,24,3
lol2,2,0,/,24,Infinity,1
lol2,4,3,-,0,1,2
lol2,10,2,/,1,5,0
lol2,6,1,/,5,6,1
lol21,4,6,*,0,24,2
lol21,2,0,/,24,Infinity,3
lol21,10,2,/,1,5,2
lol21,4,3,-,0,1,0
lol21,6,1,/,5,6,3
